what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1246414151601
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1246414151601
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414153594
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414156248
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1246414156254
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1246414156254
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414159469
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414193541
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246414193555
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414211377
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414253820
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414257482
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1246414308301
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1246414308323
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414308347
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1246414382902
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1246414383062
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1246414383250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1246414384430
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1246414386194
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1246414402479
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1246414434209
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1246414434209
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.close,1246414434224
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414438484
