what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246414040082
started,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1246414043381
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414045290
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414046276
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1246414046280
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1246414046280
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414053061
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414071995
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246414072010
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414075897
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414076936
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1246414076942
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1246414076942
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414079482
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414080439
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1246414080443
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1246414080443
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414082646
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414130535
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246414130579
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414139695
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414147548
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246414147558
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414150530
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246414151595
