what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994365988
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994366337
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994371962
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994373378
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994373401
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994373881
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994374944
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994378435
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1245994404012
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994425575
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245994425588
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994426022
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994427557
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994430337
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245994437148
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245994445335
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245994466157
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994476547
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245994476557
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994477042
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994478450
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994480866
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994516533
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245994516544
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245994516967
