what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245984493168
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1245984494682
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245984494685
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245984498295
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984502821
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984509009
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245984509033
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984511952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984538166
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245984538190
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984539852
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984753609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984757841
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1245984786785
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1245984794552
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984851029
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984852452
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984862336
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245984862444
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245984976783
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1245984976926
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1245984976927
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1245984976927
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1245984976927
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1245984976927
