what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1245990308176
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1245990308176
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1245990308177
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1245990308178
started,bundle,org.eclipse.jdt.core,3.4.4.v_894_R34x,org.eclipse.jdt.core,1245990308178
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1245990308179
started,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1245990308181
started,bundle,com.collabnet.subversion.merge,1.9.0.4,com.collabnet.subversion.merge,1245990308181
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,org.tigris.subversion.clientadapter,1245990308181
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,org.tigris.subversion.subclipse.core,1245990308181
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1245990308181
started,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1245990308187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245990310348
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245990313136
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245990313145
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245990314073
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245990318363
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1245990321294
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245990334081
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245990334090
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.3,org.tigris.subversion.clientadapter.javahl,1245990334189
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.2,org.tigris.subversion.clientadapter.svnkit,1245990334191
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245990336924
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245990341176
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1245990346906
