what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989551107
opened,editor,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare.CompareEditor,1245989559578
activated,editor,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare.CompareEditor,1245989559594
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989559897
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989559957
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989559966
closed,editor,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare.CompareEditor,1245989559966
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989559973
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989561531
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989562931
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989562932
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989564704
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989564707
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245989566660
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989568631
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989569568
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1245989569573
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245989569573
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989571624
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245989587323
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989587486
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989609269
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989609345
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989614676
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989628320
