what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989629752
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989629783
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245989633848
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989634825
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989636298
opened,editor,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare.CompareEditor,1245989640844
activated,editor,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare.CompareEditor,1245989640890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989641227
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989641283
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989641291
closed,editor,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare.CompareEditor,1245989641291
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989641298
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989642670
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245989644990
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989647140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245989648157
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1245989648162
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245989648162
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989652306
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989652329
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989652331
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245989660176
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989660385
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989660433
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245989676232
