what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1246145791482
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200902130801,org.eclipse.cdt.debug.mi.core,1246145791526
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1246145797446
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145827718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145833236
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145862925
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1246145862946
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145872672
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145873885
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.cleanAction,1246145873906
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1246145874186
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1246145878855
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.4.v20081217,org.eclipse.equinox.p2.metadata.generator,1246145878870
started,bundle,org.eclipse.equinox.p2.director.app,1.0.1.R34x_v20080729,org.eclipse.equinox.p2.director.app,1246145878871
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1246145878876
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145878957
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145895771
activated,editor,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.internal.editor.AntEditor,1246145896318
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1246145898273
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145901056
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1246145906122
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1246145906176
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.3,org.tigris.subversion.clientadapter.javahl,1246145932682
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.2,org.tigris.subversion.clientadapter.svnkit,1246145932683
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1246145939431
