what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245987209289
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987212961
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987239125
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245987239133
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1245987246924
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987247042
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245987248960
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987248990
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1245987248994
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1245987248994
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987251987
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987286136
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245987286144
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987293055
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987294058
opened,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245987302714
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245987302756
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245987304158
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245987304177
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245987305293
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987308496
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987324462
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1245987324489
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987327464
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245987375735
