what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245995409069
opened,view,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.sync.views.SynchronizeView,1245995414997
opened,view,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui.GenericHistoryView,1245995415021
opened,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.repositories,1245995415043
activated,perspective,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui.TeamSynchronizingPerspective,1245995415054
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1245995415083
executed,command,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui.TeamSynchronizingPerspective,1245995415083
activated,perspective,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.CPerspective,1245995424815
closed,view,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.sync.views.SynchronizeView,1245995424957
closed,view,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui.GenericHistoryView,1245995424958
closed,view,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui.views.repositories,1245995424959
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.closePerspective,1245995424960
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245995429845
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1245995429959
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1245995429959
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1245995429959
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1245995429959
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1245995429959
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200902130801,org.eclipse.cdt.mylyn.ui,1245995429959
stopped,bundle,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui,1245995429962
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1245995429962
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1245995429962
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1245995429962
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1245995429962
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1245995429963
