what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993331176
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1245993338004
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993339985
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993343275
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993343512
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993392388
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993398271
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993409161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993414489
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993416563
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993419839
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993423200
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.findIncremental,1245993444606
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1245993445807
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1245993451508
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993468457
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993485552
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1245993487835
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1245993489816
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1245993489871
opened,editor,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.internal.editor.AntEditor,1245993490534
activated,editor,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.internal.editor.AntEditor,1245993490603
closed,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1245993491414
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993523003
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1245993533861
